Numero,Tempo_Sequencial,Tempo_5_Threads,Tempo_10_Threads
817056236,268797,626693,778170
1829942113,279526,404264,2869684
1523996095,282627,1276803,809367
870956535,310225,769734,7147888
6853887,269628,446048,747814
966182756,256952,460821,706631
699586310,440409,894111,2393938
1242484776,258572,3684719,3595689
358790939,286608,423574,2340325
230869192,274101,725804,600595
1006669080,272621,642232,649333
2136828698,285546,426028,569216
1246757462,288673,1049901,1161385
1050081968,302292,682010,3541996
120939788,683494,650769,1009932
863591491,283328,1032766,1105040
307079661,304761,903593,2763975
336906889,336614,558921,763594
822022879,284979,406642,529538
429954117,270057,318775,584817
1774628090,262179,377463,457009
2104714618,267926,352432,471854
1611221854,272899,332773,532625
1842413842,741638,489391,1153932
168211321,261437,3557436,668462
1415527051,280238,720014,5122418
791944302,281622,438434,509412
956431602,288504,880895,2799243
1191079503,277119,1255929,3151978
973045639,281091,652245,1099730
1863697560,273616,448650,620841
2008135740,291985,293932,481603
655504104,268103,320934,487978
1240210007,290632,1911812,768949
731608627,277833,1098078,867076
662357991,268606,1041918,665343
58909116,290382,656379,978922
1431194937,285981,788336,823513
1904842767,279378,494441,513572
417700055,267301,352452,498882
1662064129,266001,532140,641749
764028200,292630,1843456,1123075
407045105,293348,4684725,943935
761337944,274635,1219931,889355
1814110168,278933,457294,608080
527984893,266940,279525,464876
1624929435,292296,350814,396715
2121189829,294799,317093,630760
864891783,268856,1183896,1191003
299468667,275427,1004475,675181
403660298,466638,531773,973053
492036225,282453,973683,4219270
256699637,279047,606714,643207
2014882152,289811,329813,340318
186966419,288425,357104,559544
424910958,355155,567146,4635878
1282925555,282107,985499,943517
978910721,291644,1152703,1100673
1381342560,283285,822875,980346
326521411,283719,863348,571141
1951956361,281069,278717,399632
1097556473,273009,615190,522440
187173503,282396,2005588,3126940
459976817,333765,1285006,2061999
190282832,287705,1394486,1093351
918782130,286580,2811374,561740
1122334809,294946,496671,658608
249191948,295609,522889,672921
202493420,287725,590383,512816
879693928,302161,379244,619162
666892003,304706,336914,415022
1864557549,320830,321614,436547
1643722128,309368,244635,389376
1073937108,305540,335691,439939
478411845,312606,325958,447281
1310348648,358538,299573,383994
1601922002,331792,349709,428202
2103341281,316397,313771,395308
1284054829,303039,331980,541045
319330137,340945,650859,768542
255326300,331329,512274,580020
1687715128,336313,622369,711001
811366362,331568,661829,1322397
512025937,310883,1467085,1284938
1555113632,315030,2921725,3156114
998332781,318541,680048,956108
936936896,330561,969975,567864
690555540,325283,330048,454534
1977243502,325451,453027,1718960
170795808,331683,710762,1503457
1017076951,324018,1119233,807481
1781716215,345208,1520516,3874902
1268352281,924741,698610,1042591
1204250454,336571,1083389,1575585
94209385,329156,400652,489894
1458635114,341254,402013,499485
2123032584,326841,1724916,1164098
1216544194,329162,1197958,1029883
1707827062,309117,702540,1251391
178042356,320060,1112829,888250
2096238122,321944,1279410,653388
227235418,300567,481945,658570
2042599906,301360,660411,538393
1592476603,306434,491173,1849899
1301172526,320069,633388,833666
373528103,397503,418873,519963
755341603,306999,3371035,4574964
755610880,348627,2460434,739919
329385736,321479,487167,645802
2039396433,302638,2018307,3170550
1074941017,308932,3978392,1392983
584712036,329732,476394,2401252
1579627913,302985,1850987,1204517
1886307379,307158,1900502,693767
1096737974,316900,1494599,606238
987257897,573743,430631,2786652
737156512,317307,1454969,1600091
2033674870,307019,1325263,597453
1677813437,335671,341325,529735
566916367,338462,2116498,1984113
56987030,336906,807965,1070001
547406740,327338,1743364,1996163
201148934,336811,1393103,3829682
1325339312,346999,484743,612725
1751657194,340015,793421,1874263
295358319,364849,1484620,3900062
636490778,342123,2262734,6285309
1727206131,346872,784558,676315
1511902513,349982,4368061,4285045
196834192,335628,1477051,4466184
1905248487,338094,859458,937699
1460656988,362163,523213,631894
424069610,431351,422464,686790
1800364745,340538,1335494,1096296
905649943,350684,627889,2870843
1725242137,338347,2103553,1704915
26409201,340627,753846,900653
1660991546,333966,515571,739668
333369369,354017,660984,3315358
355794937,334469,3058364,1190585
1552904331,344095,3025679,5109923
1408310387,338432,527608,654948
940506974,339613,1664863,2715697
985048596,342261,5135230,2876356
1147134118,349582,604867,1281915
2037244948,352438,433922,17997708
1972306494,334520,560610,799159
1884290631,355741,837022,957178
1923436170,381821,487765,7491826
1502636283,350432,887819,614475
303723350,361081,560353,684378
1980423200,345348,424811,546765
2050043024,357182,422672,1034698
504872284,352010,1086814,664447
1158278864,360356,556712,889489
1654216570,341991,401631,2566370
800230604,353405,659656,1296255
1794769642,360742,1422535,2973661
1233939053,351098,1395987,784357
164649469,426393,410602,540425
1991603835,350067,405004,558259
991703893,380541,1067568,1192640
1625306457,364763,799714,828556
268189797,576875,666579,806463
644584990,386686,641088,693706
383472752,355508,734158,735556
1993431934,365075,1199476,819449
670994191,376463,580182,861589
2044464299,571993,686222,1349090
179317656,409398,593828,738274
1026789129,389282,444147,742423
